Request_ID,Request_Guest,Text_Type,Text_Script,Text_Answer_1,Text_Next_1,Text_Answer_2,Text_Next_2,Success,Fail,Request_Stuff_1,Request_Stuff_2
1,1,1,안녕하세요. 장신구 의뢰를 부탁하려합니다.,어떤 장신구죠?,2,-1,-1,-1,-1,43,55
2,1,2,화염 마법의 위력을 높이고 싶은데 혹시 루비로 만든 반지 부탁드려도 될까요? ,네. 금방 만들어 드리겠습니다.,-1,지금 재료가 없습니다.,3,4,5,43,55
3,1,3,어쩔 수 없네요. 다음에 올게요.,-1,-1,-1,-1,-1,-1,43,55
4,1,4,제가 원한거에요!,-1,-1,-1,-1,-1,-1,43,55
5,1,5,어… 과연 화염마법이 잘 나올까요…?,-1,-1,-1,-1,-1,-1,43,55
6,2,1,안녕하신가. 긴밀히 부탁할 것이 있네. 소개는 차치하자고. 몰래 나온거라 빠르게 부탁하네.,어떤 일이시죠?,7,-1,-1,-1,-1,43,56
7,2,2,내 본모습의 비늘과 똑같은 색의 붉게 빛나는 루비 목걸이가 필요하네.,헉. 만들어드리겠습니다.,-1,지금 재료가 없습니다.,8,9,10,43,56
8,2,3,요즘 시세가 많이 올랐나보군.,-1,-1,-1,-1,-1,-1,43,56
9,2,4,고맙네.,-1,-1,-1,-1,-1,-1,43,56
10,2,5,나를 기만하는 것인가?,-1,-1,-1,-1,-1,-1,43,56
11,3,1,가게 분위기가 정말 괜찮네요! 장신구 의뢰 지금 가능할까요?,네 가능합니다.,-1,-1,-1,-1,-1,43,57
12,3,2,루비 보석을 만들어주실 수 있나요? 장신구는 음…. 팔찌가 좋겠네요!,네. 알겠습니다.,-1,지금 재료가 없습니다.,13,14,15,43,57
13,3,3,그렇군요. 아쉽지만 다음에 오도록 하죠.,-1,-1,-1,-1,-1,-1,43,57
14,3,4,역시 제 선택이 나쁘지 않았어요. 감사합니다!,-1,-1,-1,-1,-1,-1,43,57
15,3,5,제가 원한건 이게 아닌데… 안녕히 계세요…,-1,-1,-1,-1,-1,-1,43,57
16,4,1,안녕하세요.,어서오세요.,16,-1,-1,-1,-1,43,58
17,4,2,혹시 연회에 잘 어울릴만한 귀걸이 부탁드려도 될까요? 루비 보석으로 부탁드릴게요.,네. 금방 만들어 드리겠습니다.,-1,지금 재료가 없습니다.,18,19,20,43,58
18,4,3,아쉽지만 다음에 올게요.,-1,-1,-1,-1,-1,-1,43,58
19,4,4,정말 예쁘네요!,-1,-1,-1,-1,-1,-1,43,58
20,4,5,제가 원한건 이게 아니에요!,-1,-1,-1,-1,-1,-1,43,58
21,5,1,안녕하십니까. 여기가 보석 세공가게 맞습니까?,네. 맞습니다.,22,-1,-1,-1,-1,43,59
